scharbeutz_beach_data_4h_sum
datetime;occupancy
2020-12-08 12:00:00+00:00;48.75
2020-12-08 16:00:00+00:00;23.0
2020-12-08 20:00:00+00:00;16.375
2020-12-09 00:00:00+00:00;11.375
2020-12-09 04:00:00+00:00;0.5625
2020-12-09 08:00:00+00:00;23.3125
2020-12-09 12:00:00+00:00;107.75
2020-12-09 16:00:00+00:00;101.3125
2020-12-09 20:00:00+00:00;100.5
2020-12-10 00:00:00+00:00;75.0
2020-12-10 04:00:00+00:00;2.75
2020-12-10 08:00:00+00:00;34.0625
2020-12-10 12:00:00+00:00;126.375
2020-12-10 16:00:00+00:00;119.25
2020-12-10 20:00:00+00:00;116.9375
2020-12-11 00:00:00+00:00;87.75
2020-12-11 04:00:00+00:00;1.3125
2020-12-11 08:00:00+00:00;18.4375
2020-12-11 12:00:00+00:00;49.1875
2020-12-11 16:00:00+00:00;20.25
2020-12-11 20:00:00+00:00;24.875
2020-12-12 00:00:00+00:00;16.125
2020-12-12 04:00:00+00:00;0.3125
2020-12-12 08:00:00+00:00;37.75
2020-12-12 12:00:00+00:00;77.6875
2020-12-12 16:00:00+00:00;40.5
2020-12-12 20:00:00+00:00;43.375
2020-12-13 00:00:00+00:00;30.125
2020-12-13 04:00:00+00:00;3.0625
2020-12-13 08:00:00+00:00;88.125
2020-12-13 12:00:00+00:00;199.3125
2020-12-13 16:00:00+00:00;107.75
2020-12-13 20:00:00+00:00;109.0
2020-12-14 00:00:00+00:00;81.75
2020-12-14 04:00:00+00:00;2.3125
2020-12-14 08:00:00+00:00;35.5625
2020-12-14 12:00:00+00:00;77.1875
2020-12-14 16:00:00+00:00;87.875
2020-12-14 20:00:00+00:00;88.8125
2020-12-15 00:00:00+00:00;69.125
2020-12-15 04:00:00+00:00;4.6875
2020-12-15 08:00:00+00:00;59.5
2020-12-15 12:00:00+00:00;179.875
2020-12-15 16:00:00+00:00;189.125
2020-12-15 20:00:00+00:00;190.625
2020-12-16 00:00:00+00:00;142.5
2020-12-16 04:00:00+00:00;3.0
2020-12-16 08:00:00+00:00;30.375
2020-12-16 12:00:00+00:00;28.1875
2020-12-16 16:00:00+00:00;-42.375
2020-12-16 20:00:00+00:00;-44.5625
2020-12-17 00:00:00+00:00;-31.5
2020-12-17 04:00:00+00:00;3.75
2020-12-17 08:00:00+00:00;0.8125
2020-12-17 12:00:00+00:00;1.3125
2020-12-17 16:00:00+00:00;-8.5
2020-12-17 20:00:00+00:00;-2.375
2020-12-18 00:00:00+00:00;-2.25
2020-12-18 04:00:00+00:00;5.875
2020-12-18 08:00:00+00:00;73.25
2020-12-18 12:00:00+00:00;250.6875
2020-12-18 16:00:00+00:00;188.25
2020-12-18 20:00:00+00:00;192.625
2020-12-19 00:00:00+00:00;149.9375
